Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
West Pullman,93.0,1189.8817204301076,0.0,0.0,0.0,0.0,0.0,0.2864617271657464,268.0,104.0,0.06149609912804038,0.023864157870582835,0.8883248730964467,4358.0,0.021340064249655805,33141.0,0.017660463349791114,1,0.9357502247970793,0.04272684288343742,0.009629486134998944
West Englewood,81.0,1127.888888888889,5.0,30.0,0.06172839506172839,0.37037037037037035,0.0,0.3371255620232838,221.0,68.0,0.061559888579387184,0.01894150417827298,0.8223350253807107,3590.0,0.02256267409470752,19928.0,0.015381693885301938,1,0.8893134735046166,0.09629548875953432,0.005014667804094741
Washington Park,79.0,1257.759493670886,42.0,76.0,0.5316455696202531,0.9620253164556962,0.0,0.28503372643886704,228.0,92.0,0.07749830047586675,0.03127124405166554,0.9543147208121827,2942.0,0.026852481305234533,9921.0,0.015001898974553741,1,0.7223208043543997,0.02943804052010886,0.16640007055740352
East Garfield Park,78.0,1213.448717948718,29.0,45.0,0.3717948717948718,0.5769230769230769,0.0,0.2919117936507936,216.0,83.0,0.0429167494536062,0.016491158354857937,0.7766497461928934,5033.0,0.015497715080468905,18900.0,0.014812001519179644,1,0.6410039153439154,0.1696651851851852,0.175865126984127
West Humboldt Park,73.0,1171.7260273972602,0.0,0.0,0.0,0.0,0.0,0.34128622822447935,162.0,52.0,0.04295942720763723,0.013789445770352692,0.7258883248730964,3771.0,0.01935826040837974,17623.0,0.013862514242309153,1,0.43113425636951713,0.5267543721273337,0.024841303977756343
Woodlawn,70.0,1230.8857142857144,0.0,15.0,0.0,0.21428571428571427,0.0,0.18795904587461496,141.0,54.0,0.04191438763376932,0.01605231866825208,0.766497461928934,3364.0,0.020808561236623068,12011.0,0.013292821876186859,1,0.6717112646740487,0.02464253600865873,0.2122181084006327
Humboldt Park,62.0,1177.0,0.0,0.0,0.0,0.0,0.0,0.2583569545059403,171.0,52.0,0.023180154534363562,0.0070489358817947675,0.45685279187817257,7377.0,0.008404500474447607,27608.0,0.011773642233194076,1,0.24902604317589105,0.5010019161112721,0.20136163430889598
Back of the Yards,59.0,1045.7627118644068,1.0,2.0,0.01694915254237288,0.03389830508474576,0.0,0.32005342313529916,292.0,93.0,0.03366382291906848,0.010721697025593729,0.6395939086294417,8674.0,0.006801936822688494,36896.0,0.011203949867071782,1,0.24186059193408496,0.6688850308976583,0.05258743495229835
North Austin,48.0,1178.9375,0.0,0.0,0.0,0.0,0.0,0.25867311554595146,214.0,73.0,0.04596219931271478,0.0156786941580756,0.7614213197969543,4656.0,0.010309278350515464,23601.0,0.009115077857956703,1,0.7908590737680607,0.18168870386848016,0.013819079700012712
Chicago Lawn,45.0,1036.4222222222222,0.0,0.0,0.0,0.0,0.0,0.2855487522671836,162.0,61.0,0.058547162992410556,0.02204553668232743,0.8629441624365483,2767.0,0.016263100831225154,15989.0,0.008545385491834409,1,0.2840185690161986,0.6772791294014635,0.024382813184064045
