,apt_ind,wi_quart_mi,wi_half_mi,wi_3_quart,wi_1_mi
1014,4593358,0,0,0,0
1015,4593393,0,0,0,0
1016,4593485,0,0,0,0
1017,4593884,0,0,0,0
1018,4593889,0,0,0,0
1019,4594052,0,0,2,8
1020,4594063,0,0,4,4
1021,4594123,0,4,4,4
1022,4594217,0,2,6,8
1023,4594367,2,4,4,8
1024,4594484,0,0,0,8
1025,4594511,0,0,0,0
1026,4594737,0,0,0,0
1027,4594755,0,2,2,2
1028,4594817,0,0,0,0
1029,4594913,4,6,8,12
1030,4594934,0,0,0,0
1031,4595056,0,0,0,0
1032,4595110,0,0,0,2
1033,4595311,0,0,2,2
1034,4595406,0,0,0,0
1035,4595518,0,2,2,6
1036,4595534,0,0,0,0
1037,4595604,0,2,6,8
1038,4595649,0,0,0,0
1039,4595683,0,0,0,0
1040,4595730,2,4,4,4
1041,4595787,0,0,0,2
1042,4595901,0,2,4,6
1043,4595979,0,0,0,0
1044,4596025,0,0,2,4
1045,4596103,0,2,2,2
1046,4596106,0,2,4,6
1047,4596129,0,0,0,0
1048,4596378,0,0,0,0
1049,4596500,0,0,2,2
1050,4596534,0,0,2,2
1051,4597093,0,0,0,0
1052,4597114,0,0,0,0
1053,4597641,0,0,0,0
1054,4597661,0,0,0,0
1055,4597735,0,2,2,8
1056,4597934,0,0,0,2
1057,4598142,0,0,0,0
1058,4598146,0,0,0,0
1059,4598184,2,2,6,6
1060,4598341,2,4,6,8
1061,4598479,2,2,4,8
1062,4598531,0,0,0,2
1063,4598533,0,0,0,2
1064,4598551,0,0,4,4
1065,4598595,2,4,8,10
1066,4598629,2,2,6,8
1067,4598881,0,0,2,6
1068,4598952,0,0,2,2
1069,4598957,0,0,0,4
1070,4599012,0,0,2,8
1071,4599145,0,0,0,2
1072,4599367,0,0,0,2
1073,4599403,0,0,0,0
1074,4599586,0,0,2,8
1075,4599708,0,0,2,6
1076,4599750,0,0,0,0
1077,4599751,0,0,0,2
1078,4599759,0,0,0,0
1079,4599791,0,2,2,2
1080,4599846,2,4,8,10
1081,4600043,0,0,0,0
1082,4600159,2,4,8,10
1083,4600166,0,0,2,2
1084,4600308,0,0,0,0
1085,4600358,0,0,2,4
1086,4600517,0,0,0,0
1087,4600586,0,0,0,0
1088,4600587,0,0,0,0
1089,4600590,0,0,0,0
1090,4600591,0,0,0,0
1091,4600649,0,0,0,0
1092,4600651,0,0,0,0
1093,4600661,0,0,0,0
1094,4600864,0,0,0,0
1095,4600865,0,0,0,0
1096,4600943,0,2,4,6
1097,4601275,0,2,6,10
1098,4601276,0,0,2,2
1099,4601277,0,0,2,2
1100,4601322,0,0,0,0
1101,4601459,0,0,0,0
1102,4601554,0,0,0,0
1103,4601592,0,0,0,0
1104,4601661,0,0,0,0
1105,4601687,0,0,0,0
1106,4601702,0,0,0,0
1107,4601706,0,0,2,4
1108,4601829,0,2,4,8
1109,4601929,0,0,0,0
