Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
Washington Heights,7.0,1471.4285714285713,0.0,0.0,0.0,0.0,0.0,0.12057230450236966,20.0,5.0,0.03110419906687403,0.007776049766718507,0.5384615384615384,643.0,0.01088646967340591,6752.0,0.001329282187618686,0,0.9447622482227488,0.006816765402843601,0.034351288507109
Galewood,7.0,1342.857142857143,0.0,0.0,0.0,0.0,0.0,0.20551474546908313,51.0,10.0,0.03171641791044776,0.006218905472636816,0.42788461538461536,1608.0,0.004353233830845771,15008.0,0.001329282187618686,0,0.33500749600213225,0.427718690031983,0.20684058502132197
Edgewater Beach,6.0,1448.1666666666667,6.0,6.0,1.0,1.0,0.0,0.17528379535650845,371.0,96.0,0.028536266441043,0.007384047380970695,0.5192307692307693,13001.0,0.0004615029613106684,31528.0,0.001139384732244588,0,0.1940430981984268,0.10172059756407002,0.5257456800304493
Canaryville,6.0,1191.6666666666667,0.0,0.0,0.0,0.0,0.0,0.13930393964794635,29.0,7.0,0.024308466051969825,0.00586756077116513,0.39903846153846156,1193.0,0.005029337803855826,7158.0,0.001139384732244588,0,0.03422806649902207,0.3066441603799944,0.5537829701033808
Calumet River,5.0,1210.0,0.0,0.0,0.0,0.0,0.0,0.228,11.0,1.0,0.03374233128834356,0.003067484662576687,0.21153846153846154,326.0,0.015337423312883436,2151.0,0.0009494872768704899,0,0.050199999999999995,0.8689,0.0739
Pill Hill,5.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.044360343539955195,13.0,4.0,0.0593607305936073,0.0182648401826484,0.8052884615384616,219.0,0.0228310502283105,2678.0,0.0009494872768704899,0,0.9506952203136669,0.01009058999253174,0.020169678864824493
Jackson Park Highlands,5.0,798.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,0.08290155440414508,0.04922279792746114,0.9903846153846154,386.0,0.012953367875647668,1167.0,0.0009494872768704899,0,0.8945928877463583,0.0,0.049714310197086546
Clearing (W),5.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.10652572742777404,50.0,16.0,0.023730422401518746,0.007593735168485999,0.5336538461538461,2107.0,0.0023730422401518746,19349.0,0.0009494872768704899,0,0.0037676003927851567,0.44797610729236653,0.5204940823815185
South Loop,4.0,2135.25,3.0,4.0,0.75,1.0,0.0,0.07866102937709248,314.0,124.0,0.02474584285601702,0.009772243675624556,0.6153846153846154,12689.0,0.00031523366695563086,42414.0,0.0007595898214963919,0,0.23154014712123364,0.06252551044466449,0.45735587070306977
Winneconna Parkway,4.0,962.5,0.0,0.0,0.0,0.0,0.0,0.2451,19.0,8.0,0.0945273631840796,0.03980099502487562,0.9663461538461539,201.0,0.01990049751243781,993.0,0.0007595898214963919,0,0.9074,0.0,0.08259999999999999
Scottsdale,4.0,1237.5,0.0,0.0,0.0,0.0,0.0,0.13685571890441042,29.0,6.0,0.04692556634304207,0.009708737864077669,0.6057692307692307,618.0,0.006472491909385114,16393.0,0.0007595898214963919,0,0.13774176782773134,0.6152075825047275,0.23161184041969135
Lake View East,3.0,1199.3333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,0.050355071578007095,166.0,60.0,0.008771929824561403,0.0031705770450221942,0.22596153846153846,18924.0,0.0001585288522511097,42541.0,0.000569692366122294,0,0.038100966126795324,0.06939389765167721,0.7743598058343718
Uptown,3.0,1570.3333333333333,3.0,3.0,1.0,1.0,0.0,0.26000107590931093,269.0,59.0,0.025137837585272403,0.005513503410896178,0.36538461538461536,10701.0,0.0002803476310625175,26861.0,0.000569692366122294,0,0.2840187707084621,0.11187183649156766,0.45203913852797734
Ford City,3.0,1416.6666666666667,0.0,0.0,0.0,0.0,0.0,0.061200000000000004,21.0,11.0,0.09722222222222222,0.05092592592592592,1.0,216.0,0.013888888888888888,1680.0,0.000569692366122294,0,0.19879999999999998,0.5155,0.2571
McKinley Park,2.0,950.0,1.0,2.0,0.5,1.0,0.0,0.22178673661555015,60.0,17.0,0.023696682464454975,0.006714060031595577,0.4375,2532.0,0.0007898894154818325,14868.0,0.00037979491074819596,0,0.025416249663707296,0.5934770648372343,0.17124186171643802
